ab_group,resource_category,resource,unit,action,spend_context,spend_detail,player_days,spender_days,spend_events,amount_spent,amount_spent_free,amount_spent_paid,amount_per_active_player_day,pct_of_resource_spent
Control,currency,HardCoin,coins,purchase_pre_level_booster,map_pre_level_booster,pre_level_booster_1,4096.0,8.0,12.0,1200.0,1000.0,200.0,0.293,0.04
Control,currency,HardCoin,coins,team_created,unknown,unknown,4096.0,7.0,7.0,1050.0,1050.0,0.0,0.256,0.04
Control,currency,HardCoin,coins,purchase_pre_level_booster,level_pre_level_booster,pre_level_booster_3,4096.0,3.0,3.0,600.0,415.0,185.0,0.146,0.02
Control,currency,HardCoin,coins,purchase_pre_level_booster,level_pre_level_booster,pre_level_booster_2,4096.0,2.0,2.0,300.0,300.0,0.0,0.073,0.01
Control,currency,HardCoin,coins,purchase_pre_level_booster,level_pre_level_booster,pre_level_booster_1,4096.0,3.0,3.0,300.0,300.0,0.0,0.073,0.01
Control,life,life,items,in_game_use,saga,in_level,4096.0,3797.0,114864.0,114864.0,,,28.043,100.0
Control,powerup,powerup_1,items,in_game_use,saga,in_level,4096.0,3459.0,19374.0,19374.0,,,4.73,100.0
Control,powerup,powerup_2,items,in_game_use,saga,in_level,4096.0,3649.0,21872.0,21872.0,,,5.34,100.0
Control,powerup,powerup_3,items,in_game_use,saga,in_level,4096.0,3637.0,24475.0,24475.0,,,5.975,100.0
Control,powerup,unknown,items,in_game_use,saga,in_level,4096.0,1.0,138.0,138000.0,,,33.691,100.0
Control,pre_level_booster,pre_level_booster_1,items,in_game_use,saga,in_level,4096.0,3345.0,23796.0,23796.0,,,5.81,100.0
Control,pre_level_booster,pre_level_booster_2,items,in_game_use,saga,in_level,4096.0,3210.0,25767.0,25767.0,,,6.291,100.0
Control,pre_level_booster,pre_level_booster_3,items,in_game_use,saga,in_level,4096.0,2906.0,12649.0,12649.0,,,3.088,100.0
Control,ul_pre_booster,UnlimitedBooster1,items,in_game_use,saga,in_level,4096.0,2548.0,52918.0,52918.0,,,12.919,100.0
Control,ul_pre_booster,UnlimitedBooster2,items,in_game_use,saga,in_level,4096.0,2383.0,38701.0,38701.0,,,9.448,100.0
Control,ul_pre_booster,UnlimitedBooster3,items,in_game_use,saga,in_level,4096.0,1307.0,17154.0,17154.0,,,4.188,100.0
Control,unlimited_lives,UnlimitedLives,items,in_game_use,saga,in_level,4096.0,1.0,138.0,138.0,,,0.034,100.0
Variant,currency,HardCoin,coins,extra_moves,level_movesplus5,5,4054.0,3552.0,19424.0,1942400.0,1817686.0,124714.0,479.132,90.92
Variant,currency,HardCoin,coins,extra_moves,level_movesplus10,10,4054.0,316.0,404.0,40400.0,38077.0,2323.0,9.965,1.89
Variant,currency,HardCoin,coins,extra_moves,level_movesplus15,15,4054.0,202.0,238.0,23800.0,22069.0,1731.0,5.871,1.11
Variant,currency,HardCoin,coins,extra_moves,level_movesplus20,20,4054.0,200.0,215.0,21500.0,20369.0,1131.0,5.303,1.01
Variant,currency,HardCoin,coins,extra_moves,level_movesplus50,50,4054.0,182.0,215.0,21500.0,19330.0,2170.0,5.303,1.01
Variant,currency,HardCoin,coins,purchase_lives,level_lives,purchase_lives,4054.0,131.0,335.0,16750.0,13870.0,2880.0,4.132,0.78
Variant,currency,HardCoin,coins,extra_moves,level_movesplus25,25,4054.0,114.0,130.0,13000.0,12129.0,871.0,3.207,0.61
Variant,currency,HardCoin,coins,purchase_powerup,level_powerup,powerup_2,4054.0,53.0,75.0,11250.0,10390.0,860.0,2.775,0.53
Variant,currency,HardCoin,coins,extra_moves,level_movesplus30,30,4054.0,85.0,95.0,9500.0,9032.0,468.0,2.343,0.44
Variant,currency,HardCoin,coins,purchase_lives,map_lives,purchase_lives,4054.0,97.0,151.0,7550.0,5260.0,2290.0,1.862,0.35
Variant,currency,HardCoin,coins,extra_moves,level_movesplus35,35,4054.0,65.0,68.0,6800.0,6026.0,774.0,1.677,0.32
Variant,currency,HardCoin,coins,extra_moves,level_movesplus45,45,4054.0,41.0,42.0,4200.0,4127.0,73.0,1.036,0.2
Variant,currency,HardCoin,coins,extra_moves,level_movesplus40,40,4054.0,41.0,42.0,4200.0,3975.0,225.0,1.036,0.2
Variant,currency,HardCoin,coins,purchase_powerup,level_powerup,powerup_3,4054.0,21.0,21.0,4200.0,4200.0,0.0,1.036,0.2
Variant,currency,HardCoin,coins,purchase_powerup,level_powerup,powerup_1,4054.0,6.0,6.0,3000.0,3000.0,0.0,0.74,0.14
Variant,currency,HardCoin,coins,purchase_pre_level_booster,map_pre_level_booster,pre_level_booster_3,4054.0,6.0,10.0,2000.0,1400.0,600.0,0.493,0.09
Variant,currency,HardCoin,coins,team_created,unknown,unknown,4054.0,9.0,9.0,1350.0,1200.0,150.0,0.333,0.06
Variant,currency,HardCoin,coins,purchase_pre_level_booster,map_pre_level_booster,pre_level_booster_2,4054.0,5.0,8.0,1200.0,775.0,425.0,0.296,0.06
Variant,currency,HardCoin,coins,level_movesplus5,level_movesplus5,level_movesplus5,4054.0,4.0,7.0,700.0,700.0,0.0,0.173,0.03
Variant,currency,HardCoin,coins,purchase_pre_level_booster,map_pre_level_booster,pre_level_booster_1,4054.0,3.0,6.0,600.0,600.0,0.0,0.148,0.03
Variant,currency,HardCoin,coins,purchase_pre_level_booster,level_pre_level_booster,pre_level_booster_3,4054.0,1.0,1.0,200.0,200.0,0.0,0.049,0.01
Variant,currency,HardCoin,coins,purchase_pre_level_booster,level_pre_level_booster,pre_level_booster_2,4054.0,1.0,1.0,150.0,150.0,0.0,0.037,0.01
Variant,currency,HardCoin,coins,purchase_pre_level_booster,level_pre_level_booster,pre_level_booster_1,4054.0,1.0,1.0,100.0,100.0,0.0,0.025,0.0
Variant,life,life,items,in_game_use,saga,in_level,4054.0,3586.0,60172.0,60172.0,,,14.843,99.92
Variant,life,life,items,in_game_use,dream_peak,in_level,4054.0,1.0,50.0,50.0,,,0.012,0.08
Variant,powerup,powerup_1,items,in_game_use,saga,in_level,4054.0,3178.0,17639.0,17639.0,,,4.351,99.99
Variant,powerup,powerup_1,items,in_game_use,dream_peak,in_level,4054.0,1.0,1.0,1.0,,,0.0,0.01
