event_name,payer_flag,segment,seg_rank,n_instances,active_window_player_instances,avg_participants_per_instance,participation_rate,opt_in_rate,recipient_rate,position_p25,position_p50,position_p75,avg_final_token_balance,avg_bots,final_balance_p25,final_balance_p50,final_balance_p75
Hatchling Hideaway,PAYER,40-99,4,6,4029,326.0,0.486,0.4944,0.0,,,,145.2,,113.05937819296453,150.7576421009353,164.85454545454542
Hatchling Hideaway,NONPAYER,100+,5,6,3793,278.0,0.439,0.4463,0.0,,,,189.3,,146.53298076923076,161.86882716049382,195.43712797619048
Hatchling Hideaway,PAYER,100+,5,6,710,49.0,0.4155,0.431,0.0,,,,183.9,,148.41666666666666,160.0,181.29761904761904
Jigsaw,NONPAYER,0-9,1,2,32663,3425.0,0.2097,0.3918,0.5183,,,,97.0,,26.08232476731402,61.245048122028614,115.63709959660338
Jigsaw,PAYER,0-9,1,2,4153,803.0,0.3865,0.4582,0.7097,,,,114.5,,33.98446490218642,68.45876479289942,132.40990463131496
Jigsaw,NONPAYER,10-19,2,2,21382,3613.0,0.3379,0.4244,0.7025,,,,237.3,,85.63898273943798,181.51189291908986,321.54318797399594
Jigsaw,PAYER,10-19,2,2,2663,595.0,0.4465,0.4773,0.841,,,,281.2,,114.97943788171007,219.04322562358277,368.77452437574317
Jigsaw,NONPAYER,20-39,3,2,16916,3534.0,0.4178,0.4401,0.7475,,,,434.7,,167.2796355609879,356.0647800266634,585.973370309733
Jigsaw,PAYER,20-39,3,2,2048,450.0,0.4395,0.4575,0.8667,,,,521.4,,247.02273068267064,471.1492091335509,730.4063315627253
Jigsaw,NONPAYER,40-99,4,2,9435,2079.0,0.4407,0.452,0.7573,,,,807.1,,401.4905562165378,729.7934285714286,1173.8919502397764
Jigsaw,PAYER,40-99,4,2,1341,306.0,0.4564,0.4653,0.781,,,,932.7,,493.9103292540792,915.4979591836734,1308.2534236596737
Jigsaw,NONPAYER,100+,5,2,1352,308.0,0.4556,0.4593,0.4545,,,,1164.2,,809.3233516483516,1075.2326869806093,1627.9615384615383
