segment,payer_flag,resource,action,spend_context,spend_events,spender_days,amount_spent,amount_spent_free,amount_spent_paid,spend_per_event,amount_per_active_player_day,pct_of_resource_spent
20-39,NONPAYER,HC,purchase_lives,map_lives,1101,990,55050.0,37709.0,17341.0,50.0,0.6093,0.47
20-39,NONPAYER,HC,purchase_powerup,level_powerup,580,510,113500.0,113397.0,103.0,195.6897,1.2561,0.97
20-39,NONPAYER,HC,purchase_pre_level_booster,level_pre_level_booster,58,46,8300.0,8300.0,0.0,143.1034,0.0919,0.07
20-39,NONPAYER,HC,purchase_pre_level_booster,map_pre_level_booster,1960,378,301150.0,83200.0,217950.0,153.648,3.3329,2.59
20-39,NONPAYER,HC,team_created,(none),79,79,11850.0,11400.0,450.0,150.0,0.1311,0.1
20-39,PAYER,HC,extra_moves,level_movesplus10,455,398,45500.0,29727.0,15773.0,100.0,3.6272,1.43
20-39,PAYER,HC,extra_moves,level_movesplus15,495,445,49500.0,34137.0,15363.0,100.0,3.9461,1.56
20-39,PAYER,HC,extra_moves,level_movesplus20,336,307,33600.0,21086.0,12514.0,100.0,2.6786,1.06
20-39,PAYER,HC,extra_moves,level_movesplus25,260,247,26000.0,16312.0,9688.0,100.0,2.0727,0.82
20-39,PAYER,HC,extra_moves,level_movesplus30,193,180,19300.0,12032.0,7268.0,100.0,1.5386,0.61
20-39,PAYER,HC,extra_moves,level_movesplus35,149,143,14900.0,9327.0,5573.0,100.0,1.1878,0.47
20-39,PAYER,HC,extra_moves,level_movesplus40,129,125,12900.0,8257.0,4643.0,100.0,1.0284,0.41
20-39,PAYER,HC,extra_moves,level_movesplus45,106,105,10600.0,7347.0,3253.0,100.0,0.845,0.33
20-39,PAYER,HC,extra_moves,level_movesplus5,28078,8600,2807800.0,1771032.0,1036768.0,100.0,223.8361,88.23
20-39,PAYER,HC,extra_moves,level_movesplus50,781,699,78100.0,49990.0,28110.0,100.0,6.2261,2.45
20-39,PAYER,HC,purchase_lives,level_lives,511,346,25550.0,9411.0,16139.0,50.0,2.0368,0.8
20-39,PAYER,HC,purchase_lives,map_lives,291,235,14550.0,5732.0,8818.0,50.0,1.1599,0.46
20-39,PAYER,HC,purchase_powerup,level_powerup,151,89,33100.0,12500.0,20600.0,219.2053,2.6387,1.04
20-39,PAYER,HC,purchase_pre_level_booster,level_pre_level_booster,1,1,200.0,0.0,200.0,200.0,0.0159,0.01
20-39,PAYER,HC,purchase_pre_level_booster,map_pre_level_booster,66,16,10300.0,2715.0,7585.0,156.0606,0.8211,0.32
20-39,PAYER,HC,team_created,(none),3,3,450.0,450.0,0.0,150.0,0.0359,0.01
40-99,NONPAYER,HC,extra_moves,level_movesplus10,2217,1990,221700.0,221700.0,0.0,100.0,4.1052,1.66
40-99,NONPAYER,HC,extra_moves,level_movesplus15,1597,1464,159700.0,159700.0,0.0,100.0,2.9571,1.2
40-99,NONPAYER,HC,extra_moves,level_movesplus20,1215,1138,121500.0,121500.0,0.0,100.0,2.2498,0.91
40-99,NONPAYER,HC,extra_moves,level_movesplus25,774,741,77400.0,77400.0,0.0,100.0,1.4332,0.58
40-99,NONPAYER,HC,extra_moves,level_movesplus30,514,499,51400.0,51400.0,0.0,100.0,0.9518,0.39
40-99,NONPAYER,HC,extra_moves,level_movesplus35,370,358,37000.0,37000.0,0.0,100.0,0.6851,0.28
40-99,NONPAYER,HC,extra_moves,level_movesplus40,285,279,28500.0,28500.0,0.0,100.0,0.5277,0.21
40-99,NONPAYER,HC,extra_moves,level_movesplus45,217,214,21700.0,21700.0,0.0,100.0,0.4018,0.16
40-99,NONPAYER,HC,extra_moves,level_movesplus5,117874,39304,11787400.0,11785530.0,1870.0,100.0,218.265,88.37
40-99,NONPAYER,HC,extra_moves,level_movesplus50,1169,1093,116900.0,116900.0,0.0,100.0,2.1646,0.88
40-99,NONPAYER,HC,level_movesplus5,level_movesplus5,82,9,8200.0,8200.0,0.0,100.0,0.1518,0.06
40-99,NONPAYER,HC,purchase_lives,level_lives,3287,2065,164350.0,127929.0,36421.0,50.0,3.0432,1.23
40-99,NONPAYER,HC,purchase_lives,map_lives,1155,968,57750.0,41682.0,16068.0,50.0,1.0693,0.43
