engagement_segment,payer_flag,resource,unit,category,resource_earners,recipients,recipient_rate_pct,pct_of_resource_pool,mean_share_all_earners_pct,category_amount,resource_pool_amount,amount_per_earner,amount_per_recipient,category_amount_uncorrected,resource_pool_amount_uncorrected,amount_per_earner_uncorrected
A. 0,NONPAYER,UL Red,minutes,Saga,3264,1,0.03,0.02,0.01,15.0,72250.0,0.0046,15.0,15.0,72250.0,0.0046
A. 0,NONPAYER,Unlimited Lives,minutes,Daily Gift,16521,11583,70.11,45.39,49.05,702685.0,1548265.0,42.5328,60.6652,702685.0,1548265.0,42.5328
A. 0,NONPAYER,Unlimited Lives,minutes,Flock Flurry,16521,4216,25.52,25.46,18.07,394160.0,1548265.0,23.8581,93.4915,394160.0,1548265.0,23.8581
A. 0,NONPAYER,Unlimited Lives,minutes,Hatchling Hideaway,16521,2273,13.76,9.78,8.81,151470.0,1548265.0,9.1683,66.6388,151470.0,1548265.0,9.1683
A. 0,NONPAYER,Unlimited Lives,minutes,Season Pass (Free),16521,2024,12.25,7.97,7.86,123430.0,1548265.0,7.4711,60.9832,123430.0,1548265.0,7.4711
A. 0,NONPAYER,Unlimited Lives,minutes,Daily Night Sky Prize,16521,1551,9.39,2.38,5.14,36830.0,1548265.0,2.2293,23.746,36830.0,1548265.0,2.2293
A. 0,NONPAYER,Unlimited Lives,minutes,Other,16521,664,4.02,1.79,2.14,27700.0,1548265.0,1.6767,41.7169,27700.0,1548265.0,1.6767
A. 0,NONPAYER,Unlimited Lives,minutes,Ads,16521,1233,7.46,1.7,2.12,26265.0,1548265.0,1.5898,21.3017,26265.0,1548265.0,1.5898
A. 0,NONPAYER,Unlimited Lives,minutes,Kite Festival,16521,446,2.7,1.61,1.36,24995.0,1548265.0,1.5129,56.0426,24995.0,1548265.0,1.5129
A. 0,NONPAYER,Unlimited Lives,minutes,Rainbow Maker,16521,795,4.81,1.17,1.69,18045.0,1548265.0,1.0922,22.6981,18045.0,1548265.0,1.0922
A. 0,NONPAYER,Unlimited Lives,minutes,Saga,16521,476,2.88,0.91,1.47,14025.0,1548265.0,0.8489,29.4643,14025.0,1548265.0,0.8489
A. 0,NONPAYER,Unlimited Lives,minutes,Jigsaw,16521,221,1.34,0.67,0.86,10380.0,1548265.0,0.6283,46.9683,10380.0,1548265.0,0.6283
A. 0,NONPAYER,Unlimited Lives,minutes,Core,16521,121,0.73,0.38,0.42,5820.0,1548265.0,0.3523,48.0992,5820.0,1548265.0,0.3523
A. 0,NONPAYER,Unlimited Lives,minutes,Bomb's Ballet,16521,125,0.76,0.3,0.4,4710.0,1548265.0,0.2851,37.68,4710.0,1548265.0,0.2851
A. 0,NONPAYER,Unlimited Lives,minutes,Flash Race,16521,84,0.51,0.28,0.31,4405.0,1548265.0,0.2666,52.4405,4405.0,1548265.0,0.2666
A. 0,NONPAYER,Unlimited Lives,minutes,Target Day,16521,66,0.4,0.14,0.15,2100.0,1548265.0,0.1271,31.8182,2100.0,1548265.0,0.1271
A. 0,NONPAYER,Unlimited Lives,minutes,Photoshoot,16521,32,0.19,0.08,0.13,1170.0,1548265.0,0.0708,36.5625,1170.0,1548265.0,0.0708
A. 0,NONPAYER,Unlimited Lives,minutes,Team Race,16521,1,0.01,0.0,0.0,60.0,1548265.0,0.0036,60.0,60.0,1548265.0,0.0036
A. 0,NONPAYER,Unlimited Lives,minutes,River Rush,16521,1,0.01,0.0,0.01,15.0,1548265.0,0.0009,15.0,15.0,1548265.0,0.0009
A. 0,PAYER,Bomb,count,Other,2167,1449,66.87,61.92,60.99,1951.0,3151.0,0.9003,1.3464,1951.0,3151.0,0.9003
A. 0,PAYER,Bomb,count,Team Race,2167,515,23.77,18.15,19.39,572.0,3151.0,0.264,1.1107,572.0,3151.0,0.264
A. 0,PAYER,Bomb,count,Flock Flurry,2167,203,9.37,6.98,6.56,220.0,3151.0,0.1015,1.0837,220.0,3151.0,0.1015
A. 0,PAYER,Bomb,count,Hatchling Hideaway,2167,115,5.31,3.84,3.87,121.0,3151.0,0.0558,1.0522,121.0,3151.0,0.0558
A. 0,PAYER,Bomb,count,Season Pass (Free),2167,98,4.52,3.68,3.36,116.0,3151.0,0.0535,1.1837,116.0,3151.0,0.0535
A. 0,PAYER,Bomb,count,Target Day,2167,76,3.51,2.51,2.88,79.0,3151.0,0.0365,1.0395,79.0,3151.0,0.0365
A. 0,PAYER,Bomb,count,Flash Race,2167,32,1.48,1.11,1.19,35.0,3151.0,0.0162,1.0938,35.0,3151.0,0.0162
A. 0,PAYER,Bomb,count,Kite Festival,2167,25,1.15,0.86,0.88,27.0,3151.0,0.0125,1.08,27.0,3151.0,0.0125
A. 0,PAYER,Bomb,count,Rainbow Maker,2167,14,0.65,0.48,0.43,15.0,3151.0,0.0069,1.0714,15.0,3151.0,0.0069
A. 0,PAYER,Bomb,count,Saga,2167,11,0.51,0.35,0.27,11.0,3151.0,0.0051,1.0,11.0,3151.0,0.0051
A. 0,PAYER,Bomb,count,Core,2167,2,0.09,0.06,0.07,2.0,3151.0,0.0009,1.0,2.0,3151.0,0.0009
A. 0,PAYER,Bomb,count,Photoshoot,2167,1,0.05,0.03,0.05,1.0,3151.0,0.0005,1.0,1.0,3151.0,0.0005
A. 0,PAYER,Bomb,count,Bomb's Ballet,2167,1,0.05,0.03,0.05,1.0,3151.0,0.0005,1.0,1.0,3151.0,0.0005
A. 0,PAYER,Chuck,count,Other,2819,1457,51.68,43.09,42.05,1946.0,4516.0,0.6903,1.3356,1946.0,4516.0,0.6903
A. 0,PAYER,Chuck,count,Season Pass (Free),2819,507,17.99,14.3,12.76,646.0,4516.0,0.2292,1.2742,646.0,4516.0,0.2292
A. 0,PAYER,Chuck,count,Jigsaw,2819,299,10.61,8.04,8.25,363.0,4516.0,0.1288,1.214,363.0,4516.0,0.1288
A. 0,PAYER,Chuck,count,Hatchling Hideaway,2819,298,10.57,6.89,7.67,311.0,4516.0,0.1103,1.0436,311.0,4516.0,0.1103
A. 0,PAYER,Chuck,count,Team Race,2819,262,9.29,6.36,6.73,287.0,4516.0,0.1018,1.0954,287.0,4516.0,0.1018
A. 0,PAYER,Chuck,count,Target Day,2819,258,9.15,6.09,6.84,275.0,4516.0,0.0976,1.0659,275.0,4516.0,0.0976
A. 0,PAYER,Chuck,count,Flock Flurry,2819,203,7.2,4.87,4.8,220.0,4516.0,0.078,1.0837,220.0,4516.0,0.078
A. 0,PAYER,Chuck,count,Rainbow Maker,2819,186,6.6,4.81,4.92,217.0,4516.0,0.077,1.1667,217.0,4516.0,0.077
A. 0,PAYER,Chuck,count,Bomb's Ballet,2819,135,4.79,3.1,3.54,140.0,4516.0,0.0497,1.037,140.0,4516.0,0.0497
A. 0,PAYER,Chuck,count,Kite Festival,2819,35,1.24,0.8,0.84,36.0,4516.0,0.0128,1.0286,36.0,4516.0,0.0128
A. 0,PAYER,Chuck,count,Photoshoot,2819,22,0.78,0.51,0.48,23.0,4516.0,0.0082,1.0455,23.0,4516.0,0.0082
A. 0,PAYER,Chuck,count,Flash Race,2819,21,0.74,0.49,0.57,22.0,4516.0,0.0078,1.0476,22.0,4516.0,0.0078
A. 0,PAYER,Chuck,count,Saga,2819,13,0.46,0.33,0.25,15.0,4516.0,0.0053,1.1538,15.0,4516.0,0.0053
A. 0,PAYER,Chuck,count,Daily Night Sky Prize,2819,9,0.32,0.2,0.16,9.0,4516.0,0.0032,1.0,9.0,4516.0,0.0032
A. 0,PAYER,Chuck,count,Core,2819,6,0.21,0.13,0.14,6.0,4516.0,0.0021,1.0,6.0,4516.0,0.0021
A. 0,PAYER,Comet,count,Team Race,1744,1033,59.23,46.86,53.21,1237.0,2640.0,0.7093,1.1975,1237.0,2640.0,0.7093
A. 0,PAYER,Comet,count,Ads,1744,403,23.11,21.93,18.77,579.0,2640.0,0.332,1.4367,579.0,2640.0,0.332
A. 0,PAYER,Comet,count,Team Event,1744,163,9.35,11.33,7.66,299.0,2640.0,0.1714,1.8344,299.0,2640.0,0.1714
A. 0,PAYER,Comet,count,Daily Gift,1744,195,11.18,8.07,8.14,213.0,2640.0,0.1221,1.0923,213.0,2640.0,0.1221
A. 0,PAYER,Comet,count,Hatchling Hideaway,1744,101,5.79,4.02,4.69,106.0,2640.0,0.0608,1.0495,106.0,2640.0,0.0608
A. 0,PAYER,Comet,count,Target Day,1744,39,2.24,1.59,1.41,42.0,2640.0,0.0241,1.0769,42.0,2640.0,0.0241
A. 0,PAYER,Comet,count,Flash Race,1744,33,1.89,1.4,1.53,37.0,2640.0,0.0212,1.1212,37.0,2640.0,0.0212
A. 0,PAYER,Comet,count,Other,1744,21,1.2,1.17,0.71,31.0,2640.0,0.0178,1.4762,31.0,2640.0,0.0178
A. 0,PAYER,Comet,count,Bomb Challenge,1744,22,1.26,0.87,0.85,23.0,2640.0,0.0132,1.0455,23.0,2640.0,0.0132
A. 0,PAYER,Comet,count,Red Challenge,1744,14,0.8,0.57,0.64,15.0,2640.0,0.0086,1.0714,15.0,2640.0,0.0086
A. 0,PAYER,Comet,count,Rainbow Maker,1744,13,0.75,0.53,0.67,14.0,2640.0,0.008,1.0769,14.0,2640.0,0.008
A. 0,PAYER,Comet,count,Season Pass (Free),1744,12,0.69,0.53,0.58,14.0,2640.0,0.008,1.1667,14.0,2640.0,0.008
A. 0,PAYER,Comet,count,Chuck Challenge,1744,10,0.57,0.38,0.49,10.0,2640.0,0.0057,1.0,10.0,2640.0,0.0057
A. 0,PAYER,Comet,count,Kite Festival,1744,8,0.46,0.34,0.15,9.0,2640.0,0.0052,1.125,9.0,2640.0,0.0052
A. 0,PAYER,Comet,count,Saga,1744,4,0.23,0.15,0.23,4.0,2640.0,0.0023,1.0,4.0,2640.0,0.0023
A. 0,PAYER,Comet,count,Core,1744,4,0.23,0.15,0.19,4.0,2640.0,0.0023,1.0,4.0,2640.0,0.0023
A. 0,PAYER,Comet,count,Daily Night Sky Prize,1744,1,0.06,0.08,0.04,2.0,2640.0,0.0011,2.0,2.0,2640.0,0.0011
A. 0,PAYER,Comet,count,Bomb's Ballet,1744,1,0.06,0.04,0.03,1.0,2640.0,0.0006,1.0,1.0,2640.0,0.0006
A. 0,PAYER,HC,HC,Daily Gift,5989,4729,78.96,37.92,50.3,200225.0,528013.84,33.4321,42.3398,200225.0,528885.0,33.4321
A. 0,PAYER,HC,HC,Team Event,5989,941,15.71,19.48,9.88,102880.0,528013.84,17.1782,109.3305,102880.0,528885.0,17.1782
A. 0,PAYER,HC,HC,Team Race,5989,1106,18.47,15.97,11.63,84325.0,528013.84,14.08,76.2432,84325.0,528885.0,14.08
A. 0,PAYER,HC,HC,Ads,5989,1439,24.03,10.81,11.28,57095.0,528013.84,9.5333,39.6769,57095.0,528885.0,9.5333
A. 0,PAYER,HC,HC,Other,5989,1215,20.29,3.86,4.08,20365.0,528013.84,3.4004,16.7613,20365.0,528885.0,3.4004
A. 0,PAYER,HC,HC,Season Pass (Free),5989,629,10.5,2.24,4.22,11815.0,528013.84,1.9728,18.7838,11815.0,528885.0,1.9728
A. 0,PAYER,HC,HC,Target Day,5989,171,2.86,1.75,1.48,9225.0,528013.84,1.5403,53.9474,9225.0,528885.0,1.5403
A. 0,PAYER,HC,HC,Bomb Challenge,5989,80,1.34,1.67,0.78,8800.0,528013.84,1.4694,110.0,8800.0,528885.0,1.4694
A. 0,PAYER,HC,HC,Red Challenge,5989,51,0.85,1.09,0.51,5750.0,528013.84,0.9601,112.7451,5750.0,528885.0,0.9601
A. 0,PAYER,HC,HC,Chuck Challenge,5989,45,0.75,0.9,0.51,4750.0,528013.84,0.7931,105.5556,4750.0,528885.0,0.7931
A. 0,PAYER,HC,HC,Kite Festival,5989,24,0.4,0.85,0.18,4475.0,528013.84,0.7472,186.4583,4475.0,528885.0,0.7472
A. 0,PAYER,HC,HC,Daily Night Sky Prize,5989,86,1.44,0.77,0.65,4085.0,528013.84,0.6821,47.5,4085.0,528885.0,0.6821
A. 0,PAYER,HC,HC,Hatchling Hideaway,5989,320,5.34,0.76,1.42,3995.0,528013.84,0.6671,12.4844,3995.0,528885.0,0.6671
