segment,payer_flag,currency,gain_per_active_player,spend_per_active_player,net_per_active_player,resource_earners,gain_per_earner,spend_per_earner,net_per_earner,gain_p25,gain_p50,gain_p75,gain_p90,spend_p25,spend_p50,spend_p75,spend_p90,net_p25,net_p50,net_p75,net_p90,player_days
10-19,NONPAYER,SPTx2,4.1856,0.0,4.1856,6492,16.4441,0.0,16.4441,0.0,0.0,5.2294,19.9965,0.0,0.0,0.0,0.0,0.0,0.0,5.2294,19.9965,103629
10-19,PAYER,HC,1206.6947,1218.1075,-11.4128,1891,1210.5235,1221.9725,-11.449,181.5411,792.3585,1757.6001,2748.3386,201.5294,819.3957,1781.2666,2709.7125,-72.1426,9.1258,88.9202,228.5502,15970
10-19,PAYER,Slingshot,14.1687,13.787,0.3817,1789,15.024,14.6193,0.4047,3.368,11.6862,23.176,31.745,2.0715,11.1071,22.5274,31.9268,-1.0,0.5969,2.1241,4.0791,15970
10-19,PAYER,Shuffle,9.3168,9.757,-0.4402,1613,10.9572,11.4749,-0.5177,1.1243,6.9513,15.4452,22.2416,1.2685,7.228,16.0641,23.415,-1.2227,0.0,1.0,2.9734,15970
10-19,PAYER,Comet,5.1761,5.582,-0.4059,1415,6.9392,7.4834,-0.5442,0.4536,3.4846,8.7535,13.0336,0.5421,3.6655,9.1665,13.6175,-1.0,0.0,0.5623,1.9335,15970
10-19,PAYER,Red,13.242,15.0722,-1.8303,1848,13.5931,15.4719,-1.8788,4.4222,11.8711,20.6927,26.5883,2.6214,12.3975,25.1158,33.2638,-4.496,-0.9181,1.9042,4.6696,15970
10-19,PAYER,Chuck,12.6906,13.6004,-0.9099,1839,13.0908,14.0294,-0.9386,4.63,11.3345,19.9771,25.2102,2.5196,10.7839,21.8288,30.2565,-2.9373,-0.1315,2.2415,5.0817,15970
10-19,PAYER,Bomb,7.0733,7.9589,-0.8856,1700,7.8929,8.8812,-0.9882,1.4243,5.2508,11.2343,16.6023,1.0,5.2869,12.3277,19.8918,-1.9227,0.0,1.0,2.7128,15970
10-19,PAYER,UL Bomb,9.0353,13.3553,-4.32,578,29.654,43.8322,-14.1782,0.0,0.0,11.0912,30.384,0.0,0.0,14.5476,41.676,0.0,0.0,0.0,11.7793,15970
10-19,PAYER,UL Chuck,29.1012,21.3179,7.7833,1422,38.8221,28.4388,10.3833,4.8323,15.3861,39.0938,79.987,1.6931,9.7036,23.4664,58.72,0.0,4.9848,15.0601,43.5824,15970
10-19,PAYER,UL Red,51.4101,30.699,20.7111,1661,58.7146,35.0608,23.6538,10.2502,33.6479,81.2511,128.4692,6.6503,16.9043,41.0897,78.3773,2.0602,11.9208,33.8584,67.9271,15970
10-19,PAYER,Unlimited Lives,1272.9958,0.0,1272.9958,1888,1279.0641,0.0,1279.0641,312.9046,1003.8721,2080.0737,2895.7802,0.0,0.0,0.0,0.0,312.9046,1003.8721,2080.0737,2895.7802,15970
10-19,PAYER,SPT,1469.6436,0.0,1469.6436,1838,1516.8194,0.0,1516.8194,274.0238,1169.4156,2486.603,3255.5513,0.0,0.0,0.0,0.0,274.0238,1169.4156,2486.603,3255.5513,15970
10-19,PAYER,SPTx2,12.359,0.0,12.359,1295,18.1042,0.0,18.1042,0.0,10.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,20.0,15970
20-39,NONPAYER,HC,635.7502,609.0237,26.7266,19815,637.5149,610.7141,26.8008,109.5959,246.4932,825.9377,1879.9527,29.5034,266.7248,765.5448,1828.2631,-94.901,30.4447,121.4588,285.3247,97611
20-39,NONPAYER,Slingshot,8.4559,7.9343,0.5216,15395,10.9139,10.2406,0.6733,0.8738,4.0571,11.8543,25.2188,1.0416,2.9889,10.4981,23.9033,-1.7945,-0.0009,2.1457,5.123,97611
20-39,NONPAYER,Shuffle,6.2934,6.5039,-0.2105,13794,9.0655,9.3687,-0.3032,0.0375,2.5035,8.8399,19.2986,1.0,2.6903,8.2926,18.7448,-1.8236,-0.2799,1.161,3.7476,97611
20-39,NONPAYER,Comet,2.6589,3.7976,-1.1387,10469,5.0466,7.2078,-2.1611,0.0,0.6992,3.5507,8.7348,1.0,2.0079,5.2122,9.6504,-2.1015,-1.0,0.0,1.1444,97611
20-39,NONPAYER,Red,8.1433,7.2115,0.9318,19165,8.4428,7.4768,0.9661,2.0062,4.5432,11.3079,21.4115,1.0,2.0651,8.3611,22.9611,-0.9,0.9935,3.4706,6.7551,97611
20-39,NONPAYER,Chuck,8.8537,6.5809,2.2728,18990,9.264,6.8859,2.3781,2.0895,5.5483,12.4174,22.5683,0.0,1.2677,8.3507,22.3278,-0.0337,2.0,4.8714,9.2626,97611
20-39,NONPAYER,Bomb,5.3435,4.0793,1.2642,17408,6.0993,4.6563,1.443,2.0,3.0134,7.0052,14.3244,0.0,0.8017,5.1379,13.5627,-0.1889,1.5281,2.862,5.2152,97611
20-39,NONPAYER,UL Bomb,3.7229,1.8485,1.8744,3335,22.1814,11.0135,11.1679,0.0,0.0,0.0,10.4637,0.0,0.0,0.0,7.0562,0.0,0.0,0.0,5.7068,97611
20-39,NONPAYER,UL Chuck,16.153,7.1798,8.9732,10290,31.1914,13.8641,17.3273,0.0,7.1943,22.6818,40.2697,0.0,1.4176,10.9256,20.1833,0.0,1.0451,11.2297,24.0019,97611
20-39,NONPAYER,UL Red,30.4454,12.6677,17.7777,11807,51.2366,21.3185,29.9181,0.0,10.8304,42.6446,98.8321,0.0,4.8955,18.3601,38.4382,0.0,4.9084,22.253,60.9189,97611
20-39,NONPAYER,Unlimited Lives,811.0154,0.0092,811.0062,19607,821.894,0.0093,821.8847,115.7875,368.7855,1058.9255,2396.5886,0.0,0.0,0.0,0.0,119.7439,360.5741,1038.3202,2352.921,97611
