event_name,payer_flag,segment,seg_rank,event_day,instance_length_days,n_instances,n_participants,cum_token_share_mean,cum_token_share_p50,cum_token_share_p25,cum_token_share_p75,cum_levels_share_mean
Hatchling Hideaway,NONPAYER,0-9,1,3,5,6,16663,0.7025,0.8456,0.4958,1.0,0.7021
Hatchling Hideaway,NONPAYER,0-9,1,4,5,6,16663,0.968,1.0,1.0,1.0,0.9678
Hatchling Hideaway,NONPAYER,0-9,1,5,5,3,16630,1.0,1.0,1.0,1.0,1.0
Hatchling Hideaway,PAYER,0-9,1,1,5,5,5696,0.2348,0.1055,0.0,0.3772,0.2342
Hatchling Hideaway,PAYER,0-9,1,2,5,5,5696,0.4737,0.473,0.1304,0.7741,0.4727
Hatchling Hideaway,PAYER,0-9,1,3,5,5,5696,0.7157,0.8209,0.5413,1.0,0.7147
Hatchling Hideaway,PAYER,0-9,1,4,5,5,5696,0.9716,1.0,1.0,1.0,0.9712
Hatchling Hideaway,PAYER,0-9,1,5,5,3,5686,1.0,1.0,1.0,1.0,1.0
Hatchling Hideaway,NONPAYER,10-19,2,1,5,6,18355,0.252,0.1549,0.0,0.3937,0.2526
Hatchling Hideaway,NONPAYER,10-19,2,2,5,6,18355,0.501,0.5013,0.2232,0.7842,0.5017
Hatchling Hideaway,NONPAYER,10-19,2,3,5,6,18355,0.7405,0.832,0.6032,1.0,0.7409
Hatchling Hideaway,NONPAYER,10-19,2,4,5,6,18355,0.9751,1.0,1.0,1.0,0.975
Hatchling Hideaway,NONPAYER,10-19,2,5,5,3,18321,1.0,1.0,1.0,1.0,1.0
Hatchling Hideaway,PAYER,10-19,2,1,5,6,4919,0.2601,0.1721,0.0,0.4088,0.2608
Hatchling Hideaway,PAYER,10-19,2,2,5,6,4919,0.511,0.5194,0.2549,0.7786,0.5115
Hatchling Hideaway,PAYER,10-19,2,3,5,6,4919,0.7501,0.8433,0.6211,1.0,0.7502
Hatchling Hideaway,PAYER,10-19,2,4,5,6,4919,0.978,1.0,1.0,1.0,0.978
Hatchling Hideaway,PAYER,10-19,2,5,5,3,4914,1.0,1.0,1.0,1.0,1.0
Hatchling Hideaway,NONPAYER,20-39,3,1,5,6,14749,0.2792,0.216,0.0005,0.4283,0.2799
Hatchling Hideaway,NONPAYER,20-39,3,2,5,6,14749,0.548,0.5639,0.3143,0.8262,0.5487
Hatchling Hideaway,NONPAYER,20-39,3,3,5,6,14749,0.7798,0.879,0.6693,1.0,0.7803
Hatchling Hideaway,NONPAYER,20-39,3,4,5,6,14749,0.9809,1.0,1.0,1.0,0.9809
Hatchling Hideaway,NONPAYER,20-39,3,5,5,3,14734,1.0,1.0,1.0,1.0,1.0
Hatchling Hideaway,PAYER,20-39,3,1,5,6,3689,0.2939,0.2238,0.0,0.4671,0.2949
Hatchling Hideaway,PAYER,20-39,3,2,5,6,3689,0.5635,0.5957,0.319,0.8711,0.5643
Hatchling Hideaway,PAYER,20-39,3,3,5,6,3689,0.7844,0.907,0.6763,1.0,0.7848
Hatchling Hideaway,PAYER,20-39,3,4,5,6,3689,0.9821,1.0,1.0,1.0,0.9823
Hatchling Hideaway,PAYER,20-39,3,5,5,3,3680,1.0,1.0,1.0,1.0,1.0
Hatchling Hideaway,NONPAYER,40-99,4,1,5,6,8071,0.3985,0.3646,0.0831,0.6291,0.3995
Hatchling Hideaway,NONPAYER,40-99,4,2,5,6,8071,0.6833,0.7695,0.4793,1.0,0.6841
Hatchling Hideaway,NONPAYER,40-99,4,3,5,6,8071,0.8613,1.0,0.8091,1.0,0.8619
Hatchling Hideaway,NONPAYER,40-99,4,4,5,6,8071,0.9896,1.0,1.0,1.0,0.9897
Hatchling Hideaway,NONPAYER,40-99,4,5,5,3,8058,1.0,1.0,1.0,1.0,1.0
Hatchling Hideaway,PAYER,40-99,4,1,5,6,2063,0.4282,0.3979,0.0413,0.7146,0.4286
Hatchling Hideaway,PAYER,40-99,4,2,5,6,2063,0.7087,0.8537,0.4971,1.0,0.709
Hatchling Hideaway,PAYER,40-99,4,3,5,6,2063,0.8715,1.0,0.8574,1.0,0.8716
Hatchling Hideaway,PAYER,40-99,4,4,5,6,2063,0.9892,1.0,1.0,1.0,0.9891
Hatchling Hideaway,PAYER,40-99,4,5,5,3,2059,1.0,1.0,1.0,1.0,1.0
Hatchling Hideaway,NONPAYER,100+,5,1,5,3,1408,0.4734,0.4639,0.0,0.9429,0.4745
Hatchling Hideaway,NONPAYER,100+,5,2,5,3,1408,0.7078,1.0,0.3902,1.0,0.7086
Hatchling Hideaway,NONPAYER,100+,5,3,5,3,1408,0.8586,1.0,0.9535,1.0,0.8593
Hatchling Hideaway,NONPAYER,100+,5,4,5,3,1408,0.9829,1.0,1.0,1.0,0.9831
Hatchling Hideaway,NONPAYER,100+,5,5,5,3,1408,1.0,1.0,1.0,1.0,1.0
Hatchling Hideaway,PAYER,100+,5,1,5,4,370,0.533,0.5922,0.0,1.0,0.5336
Hatchling Hideaway,PAYER,100+,5,2,5,4,370,0.7534,1.0,0.6032,1.0,0.7536
Hatchling Hideaway,PAYER,100+,5,3,5,4,370,0.8914,1.0,1.0,1.0,0.8919
Hatchling Hideaway,PAYER,100+,5,4,5,4,370,0.9948,1.0,1.0,1.0,0.9949
Hatchling Hideaway,PAYER,100+,5,5,5,3,369,1.0,1.0,1.0,1.0,1.0
Jigsaw,NONPAYER,0-9,1,1,5,2,7972,0.3046,0.1341,0.0,0.54,0.3045
Jigsaw,NONPAYER,0-9,1,2,5,2,7972,0.6262,0.727,0.3073,1.0,0.6261
Jigsaw,NONPAYER,0-9,1,3,5,2,7972,0.9625,1.0,1.0,1.0,0.9625
Jigsaw,NONPAYER,0-9,1,4,5,2,7972,0.9997,1.0,1.0,1.0,0.9997
Jigsaw,NONPAYER,0-9,1,5,5,1,40,1.0,1.0,1.0,1.0,1.0
Jigsaw,PAYER,0-9,1,1,5,2,3036,0.3128,0.1887,0.0,0.5364,0.3128
Jigsaw,PAYER,0-9,1,2,5,2,3036,0.6261,0.714,0.3433,1.0,0.6261
Jigsaw,PAYER,0-9,1,3,5,2,3036,0.9602,1.0,1.0,1.0,0.9602
Jigsaw,PAYER,0-9,1,4,5,2,3036,0.9998,1.0,1.0,1.0,0.9998
Jigsaw,PAYER,0-9,1,5,5,1,29,1.0,1.0,1.0,1.0,1.0
Jigsaw,NONPAYER,10-19,2,1,5,2,7582,0.3254,0.2327,0.0,0.5454,0.3254
Jigsaw,NONPAYER,10-19,2,2,5,2,7582,0.6377,0.7107,0.3962,0.9991,0.6376
Jigsaw,NONPAYER,10-19,2,3,5,2,7582,0.963,1.0,1.0,1.0,0.963
Jigsaw,NONPAYER,10-19,2,4,5,2,7582,0.9998,1.0,1.0,1.0,0.9998
Jigsaw,NONPAYER,10-19,2,5,5,1,43,1.0,1.0,1.0,1.0,1.0
Jigsaw,PAYER,10-19,2,1,5,2,2076,0.3484,0.2695,0.0,0.5941,0.3484
Jigsaw,PAYER,10-19,2,2,5,2,2076,0.6702,0.763,0.4626,1.0,0.6703
Jigsaw,PAYER,10-19,2,3,5,2,2076,0.9693,1.0,1.0,1.0,0.9693
Jigsaw,PAYER,10-19,2,4,5,2,2076,0.9997,1.0,1.0,1.0,0.9997
Jigsaw,PAYER,10-19,2,5,5,1,15,1.0,1.0,1.0,1.0,1.0
Jigsaw,NONPAYER,20-39,3,1,5,2,5950,0.3434,0.2959,0.0082,0.5378,0.3434
Jigsaw,NONPAYER,20-39,3,2,5,2,5950,0.6524,0.704,0.4649,0.9586,0.6524
Jigsaw,NONPAYER,20-39,3,3,5,2,5950,0.9662,1.0,0.9995,1.0,0.9662
Jigsaw,NONPAYER,20-39,3,4,5,2,5950,0.9998,1.0,1.0,1.0,0.9998
Jigsaw,NONPAYER,20-39,3,5,5,1,22,1.0,1.0,1.0,1.0,1.0
Jigsaw,PAYER,20-39,3,1,5,2,1415,0.3371,0.2727,0.0006,0.5531,0.3372
Jigsaw,PAYER,20-39,3,2,5,2,1415,0.6468,0.7132,0.4545,0.9541,0.6469
Jigsaw,PAYER,20-39,3,3,5,2,1415,0.9624,1.0,1.0,1.0,0.9624
Jigsaw,PAYER,20-39,3,4,5,2,1415,0.9996,1.0,1.0,1.0,0.9996
Jigsaw,PAYER,20-39,3,5,5,1,13,1.0,1.0,1.0,1.0,1.0
Jigsaw,NONPAYER,40-99,4,1,5,2,3397,0.3717,0.3467,0.1264,0.5555,0.3719
Jigsaw,NONPAYER,40-99,4,2,5,2,3397,0.695,0.7519,0.5424,0.9455,0.6952
Jigsaw,NONPAYER,40-99,4,3,5,2,3397,0.9759,1.0,0.9993,1.0,0.9759
Jigsaw,NONPAYER,40-99,4,4,5,2,3397,0.9999,1.0,1.0,1.0,0.9999
Jigsaw,NONPAYER,40-99,4,5,5,1,19,1.0,1.0,1.0,1.0,1.0
Jigsaw,PAYER,40-99,4,1,5,2,833,0.3717,0.3326,0.106,0.5617,0.3719
Jigsaw,PAYER,40-99,4,2,5,2,833,0.7034,0.7664,0.5463,0.9773,0.7036
Jigsaw,PAYER,40-99,4,3,5,2,833,0.9759,1.0,1.0,1.0,0.976
Jigsaw,PAYER,40-99,4,4,5,2,833,1.0,1.0,1.0,1.0,1.0
Jigsaw,PAYER,40-99,4,5,5,1,8,1.0,1.0,1.0,1.0,1.0
Jigsaw,NONPAYER,100+,5,1,5,2,598,0.4212,0.4391,0.0,0.7165,0.4217
Jigsaw,NONPAYER,100+,5,2,5,2,598,0.751,0.9587,0.6137,1.0,0.752
Jigsaw,NONPAYER,100+,5,3,5,2,598,0.9809,1.0,1.0,1.0,0.9809
Jigsaw,NONPAYER,100+,5,4,5,2,598,0.9993,1.0,1.0,1.0,0.9994
Jigsaw,NONPAYER,100+,5,5,5,1,3,1.0,1.0,1.0,1.0,1.0
Jigsaw,PAYER,100+,5,1,4,1,151,0.4505,0.4501,0.0005,0.7805,0.4512
Jigsaw,PAYER,100+,5,2,4,1,151,0.7766,0.9996,0.6684,1.0,0.7772
Jigsaw,PAYER,100+,5,3,4,1,151,0.9872,1.0,1.0,1.0,0.9874
Jigsaw,PAYER,100+,5,4,4,1,151,1.0,1.0,1.0,1.0,1.0
Level Race,NONPAYER,0-9,1,1,2,2,4,1.0,1.0,1.0,1.0,1.0
Level Race,NONPAYER,0-9,1,2,2,2,4,1.0,1.0,1.0,1.0,1.0
Level Race,PAYER,0-9,1,1,2,2,10,0.8438,1.0,0.9375,1.0,0.8438
Level Race,PAYER,0-9,1,2,2,2,10,1.0,1.0,1.0,1.0,1.0
Level Race,NONPAYER,10-19,2,1,2,2,6,0.9023,1.0,0.9444,1.0,0.8557
